time,nr_nl.I1.phi,nr_nl.I1.der(phi),nr_nl.I1.flange_a.phi,nr_nl.I1.flange_a.tau,nr_nl.I1.flange_b.phi,nr_nl.I1.flange_b.tau,nr_nl.I1.w,nr_nl.I1.der(w),nr_nl.I1.a,nr_nl.I2.phi,nr_nl.I2.der(phi),nr_nl.I2.flange_a.phi,nr_nl.I2.flange_a.tau,nr_nl.I2.flange_b.phi,nr_nl.I2.w,nr_nl.I2.der(w),nr_nl.I2.a,nr_nl.torque.tau,nr_nl.torque.inPort.signal[1],nr_nl.torque.flange_b.phi,nr_nl.torque.flange_b.tau,nr_nl.signal.outPort.signal[1],nr_nl.signal.y[1],nr_nl.backlash.phi_rel,nr_nl.backlash.der(phi_rel),nr_nl.backlash.tau,nr_nl.backlash.flange_a.phi,nr_nl.backlash.flange_a.tau,nr_nl.backlash.flange_b.phi,nr_nl.backlash.flange_b.tau,r_nl.I1.phi,r_nl.I1.der(phi),r_nl.I1.flange_a.phi,r_nl.I1.flange_a.tau,r_nl.I1.flange_b.phi,r_nl.I1.flange_b.tau,r_nl.I1.w,r_nl.I1.der(w),r_nl.I1.a,r_nl.I2.phi,r_nl.I2.der(phi),r_nl.I2.flange_a.phi,r_nl.I2.flange_a.tau,r_nl.I2.flange_b.phi,r_nl.I2.flange_b.tau,r_nl.I2.w,r_nl.I2.der(w),r_nl.I2.a,r_nl.torque.tau,r_nl.torque.inPort.signal[1],r_nl.torque.flange_b.phi,r_nl.torque.flange_b.tau,r_nl.signal.outPort.signal[1],r_nl.signal.y[1],r_nl.backlash.phi_rel,r_nl.backlash.der(phi_rel),r_nl.backlash.tau,r_nl.backlash.flange_a.phi,r_nl.backlash.flange_a.tau,r_nl.backlash.flange_b.phi,r_nl.backlash.flange_b.tau,r_nl.gear.flange_a.phi,r_nl.gear.flange_a.tau,r_nl.gear.flange_b.phi,r_nl.gear.flange_b.tau,r_nl.gear.tau_support,r_nl.gear.phi_a,r_nl.gear.phi_b,r_nl.I3.phi,r_nl.I3.der(phi),r_nl.I3.flange_a.phi,r_nl.I3.flange_a.tau,r_nl.I3.flange_b.phi,r_nl.I3.w,r_nl.I3.der(w),r_nl.I3.a,nr_cor.I1.phi,nr_cor.I1.der(phi),nr_cor.I1.flange_a.phi,nr_cor.I1.flange_a.tau,nr_cor.I1.flange_b.phi,nr_cor.I1.w,nr_cor.I1.der(w),nr_cor.I1.a,nr_cor.I2.phi,nr_cor.I2.der(phi),nr_cor.I2.flange_a.phi,nr_cor.I2.flange_b.phi,nr_cor.I2.w,nr_cor.I2.der(w),nr_cor.I2.a,nr_cor.torque.tau,nr_cor.torque.inPort.signal[1],nr_cor.torque.flange_b.phi,nr_cor.torque.flange_b.tau,nr_cor.signal.outPort.signal[1],nr_cor.signal.y[1],nr_cor.backlash.phi_rel,nr_cor.backlash.flange_a.phi,nr_cor.backlash.flange_a.der(phi),nr_cor.backlash.flange_b.phi,nr_cor.backlash.flange_b.der(phi),r_cor.I1.phi,r_cor.I1.der(phi),r_cor.I1.flange_a.phi,r_cor.I1.flange_a.tau,r_cor.I1.flange_b.phi,r_cor.I1.w,r_cor.I1.der(w),r_cor.I1.a,r_cor.I2.phi,r_cor.I2.der(phi),r_cor.I2.flange_a.phi,r_cor.I2.flange_b.phi,r_cor.I2.flange_b.tau,r_cor.I2.w,r_cor.I2.der(w),r_cor.I2.a,r_cor.torque.tau,r_cor.torque.inPort.signal[1],r_cor.torque.flange_b.phi,r_cor.torque.flange_b.tau,r_cor.signal.outPort.signal[1],r_cor.signal.y[1],r_cor.backlash.phi_rel,r_cor.backlash.flange_a.phi,r_cor.backlash.flange_a.der(phi),r_cor.backlash.flange_b.phi,r_cor.backlash.flange_b.der(phi),r_cor.gear.flange_a.phi,r_cor.gear.flange_a.tau,r_cor.gear.flange_b.phi,r_cor.gear.flange_b.tau,r_cor.gear.tau_support,r_cor.gear.phi_a,r_cor.gear.phi_b,r_cor.I3.phi,r_cor.I3.der(phi),r_cor.I3.flange_a.phi,r_cor.I3.flange_a.tau,r_cor.I3.flange_b.phi,r_cor.I3.w,r_cor.I3.der(w),r_cor.I3.a
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.002,1.0079382e-08,1.2566349e-05,1.0079382e-08,0.01256604,1.0079382e-08,0.0,1.2566349e-05,0.01256604,0.01256604,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.01256604,0.01256604,1.0079382e-08,-0.01256604,0.01256604,0.01256604,-1.0079382e-08,-1.2566349e-05,0.0,1.0079382e-08,-0.0,0.0,0.0,1.0079382e-08,1.2566349e-05,1.0079382e-08,0.01256604,1.0079382e-08,0.0,1.2566349e-05,0.01256604,0.01256604,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.01256604,0.01256604,1.0079382e-08,-0.01256604,0.01256604,0.01256604,-1.0079382e-08,-1.2566349e-05,0.0,1.0079382e-08,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,1.0079382e-08,1.2566349e-05,1.0079382e-08,0.01256604,1.0079382e-08,1.2566349e-05,0.01256604,0.01256604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01256604,0.01256604,1.0079382e-08,-0.01256604,0.01256604,0.01256604,-1.0079382e-08,1.0079382e-08,1.2566349e-05,0.0,0.0,1.0079382e-08,1.2566349e-05,1.0079382e-08,0.01256604,1.0079382e-08,1.2566349e-05,0.01256604,0.01256604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01256604,0.01256604,1.0079382e-08,-0.01256604,0.01256604,0.01256604,-1.0079382e-08,1.0079382e-08,1.2566349e-05,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.004,8.062296e-08,5.0261817e-05,8.062296e-08,0.025130095,8.062296e-08,0.0,5.0261817e-05,0.025130095,0.025130095,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.025130095,0.025130095,8.062296e-08,-0.025130095,0.025130095,0.025130095,-8.062296e-08,-5.0261817e-05,0.0,8.062296e-08,-0.0,0.0,0.0,8.062296e-08,5.0261817e-05,8.062296e-08,0.025130095,8.062296e-08,0.0,5.0261817e-05,0.025130095,0.025130095,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.025130095,0.025130095,8.062296e-08,-0.025130095,0.025130095,0.025130095,-8.062296e-08,-5.0261817e-05,0.0,8.062296e-08,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,8.062296e-08,5.0261817e-05,8.062296e-08,0.025130095,8.062296e-08,5.0261817e-05,0.025130095,0.025130095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025130095,0.025130095,8.062296e-08,-0.025130095,0.025130095,0.025130095,-8.062296e-08,8.062296e-08,5.0261817e-05,0.0,0.0,8.062296e-08,5.0261817e-05,8.062296e-08,0.025130095,8.062296e-08,5.0261817e-05,0.025130095,0.025130095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025130095,0.025130095,8.062296e-08,-0.025130095,0.025130095,0.025130095,-8.062296e-08,8.062296e-08,5.0261817e-05,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.006,2.903406e-07,0.000113073205,2.903406e-07,0.03769018,2.903406e-07,0.0,0.000113073205,0.03769018,0.03769018,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.03769018,0.03769018,2.903406e-07,-0.03769018,0.03769018,0.03769018,-2.903406e-07,-0.000113073205,0.0,2.903406e-07,-0.0,0.0,0.0,2.903406e-07,0.000113073205,2.903406e-07,0.03769018,2.903406e-07,0.0,0.000113073205,0.03769018,0.03769018,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.03769018,0.03769018,2.903406e-07,-0.03769018,0.03769018,0.03769018,-2.903406e-07,-0.000113073205,0.0,2.903406e-07,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,2.903406e-07,0.000113073205,2.903406e-07,0.03769018,2.903406e-07,0.000113073205,0.03769018,0.03769018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03769018,0.03769018,2.903406e-07,-0.03769018,0.03769018,0.03769018,-2.903406e-07,2.903406e-07,0.000113073205,0.0,0.0,2.903406e-07,0.000113073205,2.903406e-07,0.03769018,2.903406e-07,0.000113073205,0.03769018,0.03769018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03769018,0.03769018,2.903406e-07,-0.03769018,0.03769018,0.03769018,-2.903406e-07,2.903406e-07,0.000113073205,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.008,6.4482197e-07,0.00020099946,6.4482197e-07,0.050244316,6.4482197e-07,0.0,0.00020099946,0.050244316,0.050244316,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.050244316,0.050244316,6.4482197e-07,-0.050244316,0.050244316,0.050244316,-6.4482197e-07,-0.00020099946,0.0,6.4482197e-07,-0.0,0.0,0.0,6.4482197e-07,0.00020099946,6.4482197e-07,0.050244316,6.4482197e-07,0.0,0.00020099946,0.050244316,0.050244316,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.050244316,0.050244316,6.4482197e-07,-0.050244316,0.050244316,0.050244316,-6.4482197e-07,-0.00020099946,0.0,6.4482197e-07,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,6.4482197e-07,0.00020099946,6.4482197e-07,0.050244316,6.4482197e-07,0.00020099946,0.050244316,0.050244316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050244316,0.050244316,6.4482197e-07,-0.050244316,0.050244316,0.050244316,-6.4482197e-07,6.4482197e-07,0.00020099946,0.0,0.0,6.4482197e-07,0.00020099946,6.4482197e-07,0.050244316,6.4482197e-07,0.00020099946,0.050244316,0.050244316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050244316,0.050244316,6.4482197e-07,-0.050244316,0.050244316,0.050244316,-6.4482197e-07,6.4482197e-07,0.00020099946,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.01,1.3332907e-06,0.00031397055,1.3332907e-06,0.06279052,1.3332907e-06,0.0,0.00031397055,0.06279052,0.06279052,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.06279052,0.06279052,1.3332907e-06,-0.06279052,0.06279052,0.06279052,-1.3332907e-06,-0.00031397055,0.0,1.3332907e-06,-0.0,0.0,0.0,1.3332907e-06,0.00031397055,1.3332907e-06,0.06279052,1.3332907e-06,0.0,0.00031397055,0.06279052,0.06279052,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.06279052,0.06279052,1.3332907e-06,-0.06279052,0.06279052,0.06279052,-1.3332907e-06,-0.00031397055,0.0,1.3332907e-06,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,1.3332907e-06,0.00031397055,1.3332907e-06,0.06279052,1.3332907e-06,0.00031397055,0.06279052,0.06279052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06279052,0.06279052,1.3332907e-06,-0.06279052,0.06279052,0.06279052,-1.3332907e-06,1.3332907e-06,0.00031397055,0.0,0.0,1.3332907e-06,0.00031397055,1.3332907e-06,0.06279052,1.3332907e-06,0.00031397055,0.06279052,0.06279052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06279052,0.06279052,1.3332907e-06,-0.06279052,0.06279052,0.06279052,-1.3332907e-06,1.3332907e-06,0.00031397055,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.012,2.3209705e-06,0.0004519993,2.3209705e-06,0.07532681,2.3209705e-06,0.0,0.0004519993,0.07532681,0.07532681,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.07532681,0.07532681,2.3209705e-06,-0.07532681,0.07532681,0.07532681,-2.3209705e-06,-0.0004519993,0.0,2.3209705e-06,-0.0,0.0,0.0,2.3209705e-06,0.0004519993,2.3209705e-06,0.07532681,2.3209705e-06,0.0,0.0004519993,0.07532681,0.07532681,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.07532681,0.07532681,2.3209705e-06,-0.07532681,0.07532681,0.07532681,-2.3209705e-06,-0.0004519993,0.0,2.3209705e-06,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,2.3209705e-06,0.0004519993,2.3209705e-06,0.07532681,2.3209705e-06,0.0004519993,0.07532681,0.07532681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07532681,0.07532681,2.3209705e-06,-0.07532681,0.07532681,0.07532681,-2.3209705e-06,2.3209705e-06,0.0004519993,0.0,0.0,2.3209705e-06,0.0004519993,2.3209705e-06,0.07532681,2.3209705e-06,0.0004519993,0.07532681,0.07532681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07532681,0.07532681,2.3209705e-06,-0.07532681,0.07532681,0.07532681,-2.3209705e-06,2.3209705e-06,0.0004519993,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.014,3.5946105e-06,0.0006150906,3.5946105e-06,0.0878512,3.5946105e-06,0.0,0.0006150906,0.0878512,0.0878512,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0878512,0.0878512,3.5946105e-06,-0.0878512,0.0878512,0.0878512,-3.5946105e-06,-0.0006150906,0.0,3.5946105e-06,-0.0,0.0,0.0,3.5946105e-06,0.0006150906,3.5946105e-06,0.0878512,3.5946105e-06,0.0,0.0006150906,0.0878512,0.0878512,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0878512,0.0878512,3.5946105e-06,-0.0878512,0.0878512,0.0878512,-3.5946105e-06,-0.0006150906,0.0,3.5946105e-06,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,3.5946105e-06,0.0006150906,3.5946105e-06,0.0878512,3.5946105e-06,0.0006150906,0.0878512,0.0878512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0878512,0.0878512,3.5946105e-06,-0.0878512,0.0878512,0.0878512,-3.5946105e-06,3.5946105e-06,0.0006150906,0.0,0.0,3.5946105e-06,0.0006150906,3.5946105e-06,0.0878512,3.5946105e-06,0.0006150906,0.0878512,0.0878512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0878512,0.0878512,3.5946105e-06,-0.0878512,0.0878512,0.0878512,-3.5946105e-06,3.5946105e-06,0.0006150906,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.016,5.1542106e-06,0.00080324436,5.1542106e-06,0.10036171,5.1542106e-06,0.0,0.00080324436,0.10036171,0.10036171,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.10036171,0.10036171,5.1542106e-06,-0.10036171,0.10036171,0.10036171,-5.1542106e-06,-0.00080324436,0.0,5.1542106e-06,-0.0,0.0,0.0,5.1542106e-06,0.00080324436,5.1542106e-06,0.10036171,5.1542106e-06,0.0,0.00080324436,0.10036171,0.10036171,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.10036171,0.10036171,5.1542106e-06,-0.10036171,0.10036171,0.10036171,-5.1542106e-06,-0.00080324436,0.0,5.1542106e-06,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,5.1542106e-06,0.00080324436,5.1542106e-06,0.10036171,5.1542106e-06,0.00080324436,0.10036171,0.10036171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10036171,0.10036171,5.1542106e-06,-0.10036171,0.10036171,0.10036171,-5.1542106e-06,5.1542106e-06,0.00080324436,0.0,0.0,5.1542106e-06,0.00080324436,5.1542106e-06,0.10036171,5.1542106e-06,0.00080324436,0.10036171,0.10036171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10036171,0.10036171,5.1542106e-06,-0.10036171,0.10036171,0.10036171,-5.1542106e-06,5.1542106e-06,0.00080324436,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.018,7.5619882e-06,0.0010160437,7.5619882e-06,0.11285639,7.5619882e-06,0.0,0.0010160437,0.11285639,0.11285639,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.11285639,0.11285639,7.5619882e-06,-0.11285639,0.11285639,0.11285639,-7.5619882e-06,-0.0010160437,0.0,7.5619882e-06,-0.0,0.0,0.0,7.5619882e-06,0.0010160437,7.5619882e-06,0.11285639,7.5619882e-06,0.0,0.0010160437,0.11285639,0.11285639,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.11285639,0.11285639,7.5619882e-06,-0.11285639,0.11285639,0.11285639,-7.5619882e-06,-0.0010160437,0.0,7.5619882e-06,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,7.5619882e-06,0.0010160437,7.5619882e-06,0.11285639,7.5619882e-06,0.0010160437,0.11285639,0.11285639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11285639,0.11285639,7.5619882e-06,-0.11285639,0.11285639,0.11285639,-7.5619882e-06,7.5619882e-06,0.0010160437,0.0,0.0,7.5619882e-06,0.0010160437,7.5619882e-06,0.11285639,7.5619882e-06,0.0010160437,0.11285639,0.11285639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11285639,0.11285639,7.5619882e-06,-0.11285639,0.11285639,0.11285639,-7.5619882e-06,7.5619882e-06,0.0010160437,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
